ticker,name,raw_composite,sector,industry,cap_bucket,price,ret_5d,ret_1m,ret_3m,ret_6m,ret_12m,asof_date
DBRG,"DigitalBridge Group, Inc.",86.7000,Financial Services,Asset Management,Mid,15.4100,0.0006,0.0052,0.5799,0.3767,0.5118,2026-02-13
AEIS,"Advanced Energy Industries, Inc",86.3000,Industrials,Electrical Equipment & Parts,Large,314.2700,0.1257,0.2215,0.5503,1.0782,1.5521,2026-02-13
CECO,CECO Environmental Corp.,86.3000,Industrials,Pollution & Treatment Controls,Mid,79.1400,0.0726,0.1962,0.6063,0.7740,2.1121,2026-02-13
DNTH,"Dianthus Therapeutics, Inc.",86.2000,Healthcare,Biotechnology,Mid,47.4000,-0.1007,0.0773,0.3352,1.2854,0.9644,2026-02-13
ERAS,"Erasca, Inc.",86.0000,Healthcare,Biotechnology,Mid,12.0000,-0.0008,0.2552,3.7244,6.3171,6.3620,2026-02-13
FIX,"Comfort Systems USA, Inc.",85.9000,Industrials,Engineering & Construction,Large,1337.9500,0.0423,0.2263,0.4907,0.9663,2.3988,2026-02-13
CGON,"CG Oncology, Inc.",85.7000,Healthcare,Biotechnology,Mid,51.5000,0.0082,-0.0296,0.3639,1.0039,0.8070,2026-02-13
ADNT,Adient plc,85.6000,Consumer Cyclical,Auto Parts,Mid,27.0900,0.0407,0.1572,0.2809,0.1469,0.5741,2026-02-13
BWXT,"BWX Technologies, Inc.",85.2000,Industrials,Aerospace & Defense,Large,200.4000,-0.0128,-0.0603,0.1282,0.1584,0.8508,2026-02-13
EME,"EMCOR Group, Inc.",85.1000,Industrials,Engineering & Construction,Large,800.8200,0.0317,0.1740,0.2946,0.3236,0.8769,2026-02-13
CVNA,Carvana Co.,84.8000,Consumer Cyclical,Auto & Truck Dealerships,Large,342.8700,-0.1670,-0.2561,0.0764,-0.0203,0.2587,2026-02-13
ACLS,"Axcelis Technologies, Inc.",84.4000,Technology,Semiconductor Equipment & Materials,Mid,94.5500,0.1062,-0.0202,0.1444,0.1744,0.5255,2026-02-13
CALY,Callaway Golf Company,84.3000,Consumer Cyclical,Leisure,Mid,12.5900,-0.1562,-0.1424,0.1900,0.2769,0.6609,2026-02-13
DLTR,"Dollar Tree, Inc.",84.2000,Consumer Defensive,Discount Stores,Large,126.0600,0.0235,-0.1073,0.2221,0.1108,0.7506,2026-02-13
ALGM,"Allegro MicroSystems, Inc.",83.9000,Technology,Semiconductors,Mid,42.3800,0.0093,0.2964,0.6761,0.3805,0.7249,2026-02-13
GPGI,"GPGI, Inc.",83.6000,Industrials,Metal Fabrication,Mid,24.6300,-0.0271,-0.0244,0.2403,0.3265,0.8854,2026-02-13
AVGO,Broadcom Inc.,83.1000,Technology,Semiconductors,Mega,325.1700,-0.0546,-0.0520,-0.0417,0.0653,0.3915,2026-02-13
FSLY,"Fastly, Inc.",83.0000,Technology,Software - Application,Mid,18.2600,1.0940,0.9913,0.5962,1.6273,1.2911,2026-02-13
CAR,"Avis Budget Group, Inc.",83.0000,Industrials,Rental & Leasing Services,Mid,118.3500,-0.0031,-0.0499,-0.1396,-0.2395,0.3574,2026-02-13
CSTM,Constellium SE,82.7000,Basic Materials,Aluminum,Mid,23.2900,-0.0571,0.0161,0.4882,0.6129,1.4439,2026-02-13
DAN,Dana Incorporated,82.6000,Consumer Cyclical,Auto Parts,Mid,33.3900,0.0402,0.2050,0.5832,0.8123,1.1250,2026-02-13
ARQT,"Arcutis Biotherapeutics, Inc.",82.5000,Healthcare,Biotechnology,Mid,25.8600,-0.0379,-0.0190,0.1312,0.5311,1.1007,2026-02-13
FCX,"Freeport-McMoRan, Inc.",82.4000,Basic Materials,Copper,Large,62.8400,-0.0121,0.0480,0.5539,0.4925,0.5841,2026-02-13
GLW,Corning Incorporated,82.3000,Technology,Electronic Components,Large,133.4600,0.0158,0.4275,0.6260,1.0547,1.6098,2026-02-13
GEV,GE Vernova Inc.,82.1000,Industrials,Specialty Industrial Machinery,Mega,802.1300,0.0007,0.2490,0.4381,0.2913,1.1712,2026-02-13
FIVE,"Five Below, Inc.",81.9000,Consumer Cyclical,Specialty Retail,Large,205.9300,-0.0167,0.0398,0.4003,0.5251,1.2838,2026-02-13
ELAN,Elanco Animal Health Incorporat,81.8000,Healthcare,Drug Manufacturers - Specialty & Generic,Large,25.1300,0.0121,0.0393,0.1428,0.3992,1.1552,2026-02-13
ATRO,Astronics Corporation,81.5000,Industrials,Aerospace & Defense,Mid,76.9400,-0.0100,0.0626,0.5641,1.3001,3.1122,2026-02-13
FLEX,Flex Ltd.,81.2000,Technology,Electronic Components,Large,64.2400,-0.0277,-0.0353,0.0791,0.3110,0.5155,2026-02-13
